id_persona;nombre;fecha_nacimiento;edad;genero;nacionalidad
586184723;Erin Lopez;1989-07-09;;Femenino;Argentino
299908431;Samantha Ware;1973-05-31;;Masculino;Mexicano
643393265;Samuel Becker;1962-04-22;;Femenino;Argentino
980424867;Alyssa Johnson;1954-09-26;;Femenino;Chileno
695700653;Heather Lee;1986-01-19;;Femenino;Chileno
81410610;Elaine Wood;1981-07-26;;Femenino;Colombiano
519694424;Jeffrey Flowers;1992-11-14;;Masculino;Argentino
28612467;Sheila Armstrong;1974-05-03;;Femenino;Colombiano
247694567;Brittany Hunt;1967-06-04;;Masculino;Peruano
649212859;Cassandra Lyons;2006-01-12;;Masculino;Peruano
702767540;Hayley James;2000-02-08;;Femenino;Colombiano
345558304;Katelyn Howell;1995-02-20;;Femenino;Peruano
287094527;Rebecca Moreno;1968-01-11;;Masculino;Colombiano
569509530;Billy Sanchez;1990-08-31;;Masculino;Chileno
62926695;Joseph Gilbert;1995-07-27;;Femenino;Chileno
367492160;Veronica Dixon;1973-01-16;;Femenino;Mexicano
673323440;Brian Salinas;1958-07-12;;Femenino;Chileno
41890661;Melissa Kirk;1988-10-08;;Masculino;Peruano
445880402;Wayne Cochran;1998-04-15;;Femenino;Mexicano
433370156;William Cruz;1969-12-03;;Femenino;Mexicano
210124387;Angela Salazar;1988-09-14;;Femenino;Peruano
655782682;Debra Bell;1980-12-30;;Femenino;Mexicano
516553175;Jean Silva;1988-04-13;;Masculino;Chileno
609173819;Mark Hayden;1980-11-27;;Femenino;Colombiano
224218358;Kim Haley;1984-06-14;;Masculino;Colombiano
960319627;James Barry;1987-01-03;;Femenino;Argentino
294992765;Jennifer Mcdonald;1973-11-18;;Femenino;Peruano
619949690;Brian Hart;1968-11-04;;Femenino;Colombiano
453938608;Joseph Walters;2005-05-17;;Femenino;Chileno
185795254;Kevin Garner;1969-03-29;;Masculino;Argentino
560243509;Jamie Hanson;2000-11-12;;Femenino;Peruano
358012258;Jordan Lewis;1977-02-20;;Masculino;Peruano
582237095;John Cain;1959-11-09;;Femenino;Colombiano
892934579;Justin Cook;1998-09-26;;Masculino;Chileno
724881440;Ronald Wu;1959-08-13;;Masculino;Colombiano
133427787;Mrs. Mary Mann;2005-03-11;;Femenino;Chileno
413014427;Michael Lee;1975-08-30;;Femenino;Mexicano
594722864;Sean Williams;1967-02-14;;Femenino;Peruano
98236544;Richard Wagner;1988-05-12;;Femenino;Argentino
618661008;Jennifer Weber;1988-12-02;;Masculino;Peruano
479018434;Donna Carpenter;1962-05-05;;Femenino;Argentino
57171464;Adam Chase;1980-02-21;;Femenino;Argentino
587496700;Lauren Montoya;1972-12-06;;Masculino;Peruano
847804352;James Mullins;1970-08-08;;Masculino;Colombiano
302143029;Jessica Collier;1972-09-15;;Femenino;Mexicano
204654161;Michelle Faulkner;1966-03-18;;Masculino;Chileno
408292407;Alyssa Campbell;1991-09-14;;Masculino;Mexicano
930650691;Lisa Wyatt;1954-03-18;;Femenino;Chileno
346544469;Mary Schultz;1978-12-01;;Masculino;Peruano
580743637;Leslie Garcia;1994-03-15;;Femenino;Chileno
999287775;Vanessa Clark;1973-11-25;;Masculino;Mexicano
89178588;Wendy Watson;1991-01-02;;Femenino;Chileno
975080951;Erin Mathis;1989-10-14;;Masculino;Argentino
452267987;Carlos Woods;1981-02-23;;Femenino;Argentino
136695729;Dawn Jones;1969-05-21;;Masculino;Mexicano
101094077;Christina White;1965-07-27;;Femenino;Mexicano
282492298;Alexander Delgado;1979-01-14;;Femenino;Peruano
832941954;Jose Buckley;1997-09-02;;Masculino;Mexicano
67764795;Michael Ward MD;1998-07-25;;Masculino;Argentino
582867003;Dr. Carrie Hodges;1995-04-21;;Masculino;Chileno
15005403;Maria Mayer;1993-08-21;;Femenino;Colombiano
928634856;Mrs. Amanda Rodriguez;1966-12-28;;Masculino;Mexicano
737783262;Anthony Marshall;1992-09-18;;Masculino;Peruano
614451739;Nathaniel Barber;1982-10-25;;Femenino;Chileno
245554131;Ashley Bowers;1966-11-11;;Femenino;Mexicano
240741390;Terry Sheppard;1956-05-31;;Masculino;Argentino
833477910;Robert Harris;1959-07-30;;Masculino;Argentino
358355411;William Tran;1978-06-23;;Masculino;Chileno
154304028;Valerie Cole;1991-04-12;;Masculino;Chileno
710296622;Paul Cunningham;1961-07-17;;Femenino;Argentino
774686370;Jon Bennett;1978-08-09;;Femenino;Peruano
160845964;Andrea Thomas;1962-12-10;;Femenino;Mexicano
398802367;Shari Moore;1965-08-25;;Masculino;Peruano
851871155;Victoria Hanna;1977-07-16;;Femenino;Mexicano
141901487;Katrina Davidson;2006-08-22;;Femenino;Colombiano
191367818;Julie Soto MD;1973-09-16;;Masculino;Mexicano
39624732;Mary Rodriguez;1985-07-11;;Femenino;Peruano
921773538;Mrs. Beth Simmons;2003-08-15;;Masculino;Peruano
215137386;Alan Kelly;1985-05-27;;Masculino;Peruano
13100526;Abigail Powell;1965-04-21;;Masculino;Peruano
189011156;Timothy Brown;2004-11-13;;Masculino;Peruano
43677087;Steven Phillips;1977-04-27;;Masculino;Chileno
284549936;Heather Bruce;1955-05-10;;Masculino;Colombiano
252547886;Joel Kane;1960-10-25;;Femenino;Chileno
103368317;Joseph Roberts;1999-11-30;;Femenino;Peruano
566481494;Christopher Hernandez;1999-08-07;;Femenino;Peruano
644069545;Kaitlyn Thompson DVM;2002-04-13;;Masculino;Colombiano
361393513;Theresa Johnston;2003-05-07;;Femenino;Peruano
671443510;Hannah Ramos;1968-03-22;;Masculino;Peruano
936987866;Gina Hall;1958-01-16;;Femenino;Mexicano
399036310;Michael Green;1959-09-05;;Masculino;Chileno
662054291;Scott Schneider;1984-01-10;;Masculino;Chileno
914219487;Mark Miller;2000-02-24;;Masculino;Chileno
660541029;Timothy Reynolds;1994-09-30;;Masculino;Mexicano
922046598;Cory Frost;1963-12-03;;Masculino;Colombiano
650820703;Katherine Harris;2006-01-28;;Femenino;Peruano
326039406;Mrs. Angela Butler;1994-06-08;;Masculino;Peruano
605448130;Mrs. Candice Morton DDS;1990-02-06;;Femenino;Argentino
235166487;Randall Miller PhD;1995-06-06;;Femenino;Peruano
984593597;Dennis Martin;2006-08-10;;Masculino;Chileno
415199652;Nicholas Williams;1973-06-24;;Femenino;Mexicano
132903224;Natalie Clark;1960-08-28;;Femenino;Peruano
363713801;Christopher Alvarez;1992-09-17;;Femenino;Argentino
723308945;Kimberly Lam;1979-03-30;;Femenino;Chileno
127556478;William Wright;1978-09-11;;Femenino;Mexicano
211316355;Joseph Rodriguez;1976-01-17;;Masculino;Colombiano
233568403;Eric Bird;1995-07-05;;Masculino;Peruano
362792120;Christopher Smith;1955-07-29;;Femenino;Mexicano
558019640;David Larson;2006-01-28;;Femenino;Mexicano
103762691;Maria Campbell;1990-02-03;;Femenino;Argentino
332544491;Brian Sexton;1967-11-18;;Femenino;Chileno
973368602;Sara Phillips;1957-06-27;;Masculino;Mexicano
607366479;Michael Wallace;2001-06-11;;Femenino;Argentino
813734979;Larry Roberts;2005-03-18;;Femenino;Argentino
314792298;Patrick Copeland;1979-01-23;;Femenino;Colombiano
154257113;Ernest Jordan;2006-10-04;;Femenino;Peruano
149930499;Matthew Garrett;2001-05-31;;Masculino;Chileno
519896006;Jared Brown;2005-04-16;;Masculino;Argentino
51978821;Amanda Rivera;1990-05-24;;Femenino;Chileno
427633054;Leslie Moon;1996-04-12;;Masculino;Chileno
200851927;Shawn Lee;1993-05-14;;Masculino;Peruano
422605773;Lorraine Wade;1958-08-28;;Masculino;Peruano
916836645;Stephen Leonard;2003-11-18;;Femenino;Peruano
263317386;Carrie Roman;1988-01-11;;Femenino;Argentino
767394495;Ricky Rogers;1982-07-11;;Femenino;Peruano
817947561;Timothy Weiss;1956-07-10;;Femenino;Mexicano
850651870;Pamela Brown;1961-02-14;;Masculino;Chileno
619797236;Lee Copeland;1980-05-05;;Femenino;Chileno
612201595;Crystal Jones;1993-02-19;;Masculino;Argentino
864798730;Tina Harrell;1995-04-19;;Masculino;Colombiano
